nuplan_token,nuplan_log,scenario_id,iteration,timestamp_us,ego_x,ego_y,ego_heading,ego_velocity_x,ego_velocity_y,ego_acceleration_x,ego_acceleration_y,tire_steering_angle,scenario_type
00002b2436735b10,2021.07.09.17.06.37_veh-35_00258_00748,scenario_00002b2436735b10,0,1625851234001318,664591.8369403522,3997896.634104767,2.219043835717213,-0.014831725558960236,0.0007174966191091101,-0.09414212160983265,0.00991872976116581,0.0,stationary
00002b2436735b10,2021.07.09.17.06.37_veh-35_00258_00748,scenario_00002b2436735b10,1,1625851234051326,664591.8370807864,3997896.63384415,2.219007091440266,-0.01338629818562595,0.0010292113838508347,-0.09362120318473861,0.006968623053030699,0.0,stationary
00002b2436735b10,2021.07.09.17.06.37_veh-35_00258_00748,scenario_00002b2436735b10,2,1625851234101336,664591.8372308064,3997896.6335986815,2.2189940032523285,-0.01205213031170152,0.001161893712571318,-0.0666283473633779,0.017385732840863467,0.0,stationary
00002b2436735b10,2021.07.09.17.06.37_veh-35_00258_00748,scenario_00002b2436735b10,3,1625851234151345,664591.8373758416,3997896.633321002,2.21892087490126,-0.009542615562140698,0.0011561648629092097,-0.013251677546916236,-0.009905806923798957,0.0,stationary
00002b2436735b10,2021.07.09.17.06.37_veh-35_00258_00748,scenario_00002b2436735b10,4,1625851234201353,664591.8374685992,3997896.6331545487,2.2188846362403485,-0.004739677392127737,0.00025452495990415275,0.07532600073633727,-0.015815897498771252,0.0,stationary
00002b2436735b10,2021.07.09.17.06.37_veh-35_00258_00748,scenario_00002b2436735b10,5,1625851234251360,664591.8374612146,3997896.6331267776,2.2188709509604347,0.0005488378151988111,-0.0007353706577894121,0.10989214912742142,-0.021657894021214933,0.0,stationary
00002b2436735b10,2021.07.09.17.06.37_veh-35_00258_00748,scenario_00002b2436735b10,6,1625851234301371,664591.8374350399,3997896.6332525155,2.2189061906465093,0.004384736913856773,-0.0010717805600922187,0.10274572503937338,-0.006950744927050613,0.0,stationary
00002b2436735b10,2021.07.09.17.06.37_veh-35_00258_00748,scenario_00002b2436735b10,7,1625851234351384,664591.8373548803,3997896.63339174,2.2188945141437073,0.005620450886698587,-0.00040069225977749353,0.04502127050223511,0.02027653779193265,0.0,stationary
00002b2436735b10,2021.07.09.17.06.37_veh-35_00258_00748,scenario_00002b2436735b10,8,1625851234401402,664591.8372799641,3997896.633440902,2.2189129039300597,0.004445530943929288,0.0005053682954332201,-0.005952870307077644,0.020403176098400415,0.0,stationary
00002b2436735b10,2021.07.09.17.06.37_veh-35_00258_00748,scenario_00002b2436735b10,9,1625851234451421,664591.8372424843,3997896.6334361234,2.2189482909470146,0.002767961246241067,0.0004780300931368895,-0.023949245045122063,-0.005627521376958667,0.0,stationary
00002b2436735b10,2021.07.09.17.06.37_veh-35_00258_00748,scenario_00002b2436735b10,10,1625851234501441,664591.8372435614,3997896.6334229736,2.2189693764933383,0.0017128930932700998,-0.0003766677060370018,0.0013862164784613877,-0.028793543449550294,0.0,stationary
00002b2436735b10,2021.07.09.17.06.37_veh-35_00258_00748,scenario_00002b2436735b10,11,1625851234551460,664591.8372267124,3997896.633470286,2.2189482116737316,0.0015975238352254496,-0.0011112709904496075,0.01416216714496977,-0.021343706048748506,0.0,stationary
00002b2436735b10,2021.07.09.17.06.37_veh-35_00258_00748,scenario_00002b2436735b10,12,1625851234601479,664591.8371837331,3997896.6335388427,2.2189301762705496,0.0013503317158451444,-0.0009505609674990043,0.017493193199805294,-0.0039232960968899324,0.0,stationary
00002b2436735b10,2021.07.09.17.06.37_veh-35_00258_00748,scenario_00002b2436735b10,13,1625851234651500,664591.8371506716,3997896.6335883196,2.2188955375267416,0.0014694335257614713,-0.0006480221128516185,0.0009118286324535671,0.01150310769452494,0.0,stationary
00002b2436735b10,2021.07.09.17.06.37_veh-35_00258_00748,scenario_00002b2436735b10,14,1625851234701520,664591.8371283902,3997896.633608592,2.218920789887327,0.0025584138679913453,0.0001341200956777532,0.05262950389023051,0.022067138773155318,0.0,stationary
