scenario_id,iteration,timestamp_us,ego_x,ego_y,ego_heading,ego_velocity_x,ego_velocity_y,ego_acceleration_x,ego_acceleration_y,ego_angular_velocity,ego_angular_acceleration,tire_steering_angle,scenario_type,nuplan_token,nuplan_log
scenario_000,0,1620857935950009,664649.6250824768,3999255.189095965,-2.0458436557113857,0.31336269286702984,-0.014673094819023482,0.2563629423206365,-0.016588667117690865,0.0,0.0,0.0,low_magnitude_speed,262a4b7a1f2c5ab6,2021.05.12.22.00.38_veh-35_01008_01518
scenario_000,1,1620857936000026,664649.6161404295,3999255.172368764,-2.0459796287362093,0.33412913072216166,-0.013773468178494086,0.256162005009086,0.00944706895531023,0.0,0.0,0.0,low_magnitude_speed,262a4b7a1f2c5ab6,2021.05.12.22.00.38_veh-35_01008_01518
scenario_000,2,1620857936050044,664649.6075097368,3999255.15406211,-2.0461393896501274,0.3552137599954588,-0.011599966846867135,0.22673592455586852,-0.003221880070024939,0.0,0.0,0.0,low_magnitude_speed,262a4b7a1f2c5ab6,2021.05.12.22.00.38_veh-35_01008_01518
scenario_000,3,1620857936100063,664649.5987099698,3999255.1365982527,-2.04626941392696,0.37061802504747876,-0.011344643829703651,0.21345664059976685,-0.01706171982236486,0.0,0.0,0.0,low_magnitude_speed,262a4b7a1f2c5ab6,2021.05.12.22.00.38_veh-35_01008_01518
scenario_000,4,1620857936150084,664649.5897291618,3999255.117651805,-2.0463747331954028,0.38694708221755425,-0.0106490166938416,0.20429793315744738,-0.03930875688398618,0.0,0.0,0.0,low_magnitude_speed,262a4b7a1f2c5ab6,2021.05.12.22.00.38_veh-35_01008_01518
scenario_000,5,1620857936200106,664649.5799811963,3999255.0979697686,-2.0464181815046865,0.40501038702387726,-0.010021362421619965,0.2248169270279102,0.010065107632744874,0.0,0.0,0.0,low_magnitude_speed,262a4b7a1f2c5ab6,2021.05.12.22.00.38_veh-35_01008_01518
scenario_000,6,1620857936250127,664649.5698054449,3999255.078197034,-2.0465310077603016,0.42168614267391896,-0.009470556071481786,0.2779472601274106,0.0132696997753986,0.0,0.0,0.0,low_magnitude_speed,262a4b7a1f2c5ab6,2021.05.12.22.00.38_veh-35_01008_01518
scenario_000,7,1620857936300146,664649.5592761026,3999255.057522601,-2.0466916579208188,0.4410686986096985,-0.009367130300128016,0.2744664724987817,-0.0031090309620544774,0.0,0.0,0.0,low_magnitude_speed,262a4b7a1f2c5ab6,2021.05.12.22.00.38_veh-35_01008_01518
scenario_000,8,1620857936350164,664649.5483597931,3999255.0366986557,-2.046784705550454,0.46170519594920273,-0.010812043960247658,0.387632018970938,-0.04297133413405554,0.0,0.0,0.0,low_magnitude_speed,262a4b7a1f2c5ab6,2021.05.12.22.00.38_veh-35_01008_01518
scenario_000,9,1620857936400182,664649.5366210548,3999255.0146369585,-2.0468586863365426,0.48347116674772106,-0.011220791862382949,0.3974391731264254,-0.00421983637201741,0.0,0.0,0.0,low_magnitude_speed,262a4b7a1f2c5ab6,2021.05.12.22.00.38_veh-35_01008_01518
scenario_000,10,1620857936450200,664649.5248261656,3999254.99252242,-2.0470179296411137,0.5048199800003239,-0.011106568103754405,0.4023934669012781,-0.035302095132026555,0.0,0.0,0.0,low_magnitude_speed,262a4b7a1f2c5ab6,2021.05.12.22.00.38_veh-35_01008_01518
scenario_000,11,1620857936500216,664649.5117165128,3999254.970099523,-2.047092099643198,0.5257974924974438,-0.013935124024449136,0.42156220698676766,-0.045231053640323676,0.0,0.0,0.0,low_magnitude_speed,262a4b7a1f2c5ab6,2021.05.12.22.00.38_veh-35_01008_01518
scenario_000,12,1620857936550232,664649.4973453801,3999254.946289488,-2.047204175987509,0.5480404062803376,-0.018490991165573886,0.42885250855655854,-0.06559221496993364,0.0,0.0,0.0,low_magnitude_speed,262a4b7a1f2c5ab6,2021.05.12.22.00.38_veh-35_01008_01518
scenario_000,13,1620857936600248,664649.4833283534,3999254.9211372053,-2.0473770296686578,0.5707649969717203,-0.019908178946992285,0.42742695472627484,-0.020902270638616105,0.0,0.0,0.0,low_magnitude_speed,262a4b7a1f2c5ab6,2021.05.12.22.00.38_veh-35_01008_01518
scenario_000,14,1620857936650264,664649.4691754947,3999254.8950984725,-2.047484617179149,0.5940750435840328,-0.019683677133745425,0.4592532504882747,0.008856432869909926,0.0,0.0,0.0,low_magnitude_speed,262a4b7a1f2c5ab6,2021.05.12.22.00.38_veh-35_01008_01518
scenario_000,15,1620857936700280,664649.4544601848,3999254.868046653,-2.0477114519093145,0.6155786800233161,-0.01869965926494338,0.41693211831287696,-0.003945340045983946,0.0,0.0,0.0,low_magnitude_speed,262a4b7a1f2c5ab6,2021.05.12.22.00.38_veh-35_01008_01518
scenario_000,16,1620857936750298,664649.4390509974,3999254.8399693943,-2.0478836312468878,0.6382466054604123,-0.01992492061893887,0.45690780773373296,-0.0371481431665509,0.0,0.0,0.0,low_magnitude_speed,262a4b7a1f2c5ab6,2021.05.12.22.00.38_veh-35_01008_01518
